number,name,abbreviation,smiles,E_ox_V_vs_Li,DBE,C/N,TPSA,MaxAbsCharge,MolLogP,MolWt,NumRotatableBonds,FractionCSP3,NumHDonors,NumHeteroatoms
1,"N,N,N',N'-Tetramethyl-p-phenylenediamine",TMPD,CN(C)C1=CC=C(C=C1)N(C)C,3.35,4.0,5.0,6.48,0.3776594318116548,1.8186,164.25199999999995,2,0.4,0,2
2,10-Methylphenothiazine,MPT,CN1C2=CC=CC=C2SC3=CC=CC=C31,3.67,9.0,13.0,3.24,0.3427767906238366,3.919100000000002,213.30499999999998,0,0.07692307692307693,0,2
3,"2,2,6,6-Tetramethylpiperidinyl-1-oxide",TEMPO,CC1(CCCC(N1[O])(C)C)C,3.74,1.5,9.0,23.14,0.14391229431909255,2.375000000000001,156.249,0,1.0,0,2
4,"4-Methoxy-2,2,6,6-tetramethylpiperidinyl-1-oxyl",Me-TEMPO,COC1CC(C)(C)N([O])C(C)(C)C1,3.76,1.5,10.0,32.37,0.3813109935086539,1.9998999999999998,186.27499999999998,1,1.0,0,3
5,2-Azaadamantane-N-oxyl,AZADO,C1C2CC3CC1CC(C2)N3[O],3.65,3.5,9.0,23.14,0.1488506083944369,1.5948,152.21699999999998,0,1.0,0,2
6,1-Methyl-2-aza-adamantane-N-oxyl,Me-AZADO,CC12CC3CC(CC(C3)N1[O])C2,3.6,3.5,10.0,23.14,0.1460811188755116,1.9849,166.24399999999997,0,1.0,0,2
7,Tris[4-(diethylamino)phenyl]amine,TDPA,CCN(CC)c1ccc(N(c2ccc(N(CC)CC)cc2)c3ccc(N(CC)CC)cc3)cc1,3.1,12.0,7.5,12.96,0.3720901747279239,7.695000000000009,458.6940000000002,12,0.4,0,4
8,"5,10-Dimethyldihydrophenazine",DMPZ,CN1C2=CC=CC=C2N(C)C3=CC=CC=C13,3.25,9.0,7.0,6.48,0.3412235870374611,3.535800000000002,210.28,0,0.14285714285714285,0,2
9,"1,5-Naphthalenediamine",NDA,C1=CC2=C(C=CC=C2N)C(=C1)N,3.3,7.0,5.0,52.04,0.3982248044188663,2.0041999999999995,158.20399999999998,0,0.0,2,2
10,1-Phenylpyrrolidine,PPD,C1CCN(C1)C2=CC=CC=C2,4.0,5.0,10.0,3.24,0.37153540026195864,2.2868000000000004,147.22099999999998,1,0.4,0,1
