feature,spearman_rho,p_value
C/N,0.7038243972478043,0.023113987865340534
DBE,-0.6238794669049376,0.05389846922626326
MolWt,-0.5151515151515151,0.1275528697032343
FractionCSP3,0.424467415469201,0.22146253582212996
NumHeteroatoms,-0.39520337841945463,0.25833358480597707
NumHDonors,-0.2901294265928297,0.41612025350705956
MolLogP,-0.2121212121212121,0.5563057751029299
MaxAbsCharge,-0.16363636363636364,0.6514773427962428
TPSA,-0.08643457510060754,0.8123306182008212
NumRotatableBonds,-0.07539731110566095,0.836002784045344
